-------------------- Muestras de los registros cada 200 ms --------------------

Fallidos: 2      Verificados: 0
app.Casillero [6][4]: ocupado 2 veces, con estado final: VACIO
app.Casillero [6][5]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][6]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][7]: ocupado 2 veces, con estado final: VACIO
app.Casillero [6][8]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][9]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][10]: ocupado 5 veces, con estado final: VACIO
app.Casillero [6][11]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][12]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][13]: ocupado 3 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][14]: ocupado 4 veces, con estado final: VACIO
app.Casillero [6][15]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][16]: ocupado 3 veces, con estado final: VACIO
app.Casillero [6][17]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [6][18]: ocupado 4 veces, con estado final: VACIO
app.Casillero [6][19]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][0]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][1]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][2]: ocupado 4 veces, con estado final: VACIO
app.Casillero [7][3]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][4]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][5]: ocupado 2 veces, con estado final: VACIO
app.Casillero [7][6]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][7]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][8]: ocupado 4 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][9]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][10]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][11]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][12]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][13]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][14]: ocupado 3 veces, con estado final: VACIO
app.Casillero [7][15]: ocupado 3 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][16]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][17]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][18]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [7][19]: ocupado 3 veces, con estado final: VACIO
app.Casillero [8][0]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][1]: ocupado 2 veces, con estado final: VACIO
app.Casillero [8][2]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][3]: ocupado 3 veces, con estado final: VACIO
app.Casillero [8][4]: ocupado 2 veces, con estado final: VACIO
app.Casillero [8][5]: ocupado 3 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][6]: ocupado 4 veces, con estado final: VACIO
app.Casillero [8][7]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][8]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][9]: ocupado 4 veces, con estado final: VACIO
app.Casillero [8][10]: ocupado 4 veces, con estado final: VACIO
app.Casillero [8][11]: ocupado 6 veces, con estado final: VACIO
app.Casillero [8][12]: ocupado 4 veces, con estado final: VACIO
app.Casillero [8][13]: ocupado 3 veces, con estado final: VACIO
app.Casillero [8][14]: ocupado 3 veces, con estado final: VACIO
app.Casillero [8][15]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][16]: ocupado 3 veces, con estado final: VACIO
app.Casillero [8][17]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [8][18]: ocupado 4 veces, con estado final: VACIO
app.Casillero [8][19]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][0]: ocupado 2 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [9][1]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][2]: ocupado 4 veces, con estado final: VACIO
app.Casillero [9][3]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][4]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][5]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][6]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [9][7]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][8]: ocupado 3 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [9][9]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][10]: ocupado 3 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [9][11]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][12]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][13]: ocupado 1 veces, con estado final: FUERA_DE_SERVICIO
app.Casillero [9][14]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][15]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][16]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][17]: ocupado 2 veces, con estado final: VACIO
app.Casillero [9][18]: ocupado 3 veces, con estado final: VACIO
app.Casillero [9][19]: ocupado 3 veces, con estado final: VACIO

--------------------------------------------------------------------------------------

Cantidad de ocupaciones Totales: 500
Cantidad de Ocupados al final: 0
Cantidad de Fuera De Servicio al final: 83
Cantidad de Vacios al final: 117

--------------------------------------------------------------------------------------

Cantidad de pedidos en la cola de Pedidos en Preparacion: 0
Cantidad de pedidos en la cola de Pedidos en Transito: 0
Cantidad de pedidos en la cola de Pedidos Entregados:0
Cantidad de pedidos en la cola de Pedidos Fallidos: 144
Cantidad de pedidos en la cola de Pedidos Verificados: 356

--------------------------------------------------------------------------------------

Tiempo total de ejecucion 29399ms

--------------------------------------------------------------------------------------

